open,high,low,close,volume
105.364,105.364,105.363,105.363,9.0
105.363,105.363,105.363,105.363,0.0
105.363,105.363,105.362,105.363,10.0
105.363,105.369,105.363,105.369,13.0
105.369,105.378,105.369,105.377,38.0
105.377,105.377,105.375,105.377,4.0
105.377,105.388,105.377,105.385,55.0
105.383,105.395,105.383,105.395,26.0
105.395,105.397,105.393,105.394,12.0
105.394,105.397,105.393,105.396,24.0
105.396,105.396,105.395,105.395,11.0
105.394,105.394,105.39,105.392,8.0
105.392,105.392,105.391,105.391,11.0
105.391,105.391,105.391,105.391,4.0
105.391,105.391,105.387,105.389,34.0
105.389,105.393,105.389,105.393,24.0
105.393,105.393,105.391,105.391,6.0
105.391,105.391,105.391,105.391,17.0
105.391,105.394,105.39,105.394,28.0
105.394,105.394,105.393,105.393,21.0
105.393,105.393,105.389,105.39,43.0
105.39,105.399,105.39,105.399,37.0
105.399,105.399,105.394,105.395,21.0
105.395,105.403,105.395,105.4,31.0
105.4,105.401,105.399,105.401,6.0
105.401,105.403,105.401,105.401,9.0
105.401,105.401,105.391,105.392,56.0
105.392,105.392,105.387,105.388,66.0
105.387,105.387,105.371,105.375,65.0
105.375,105.391,105.375,105.39,27.0
105.39,105.391,105.389,105.391,9.0
105.391,105.391,105.389,105.389,5.0
105.389,105.393,105.389,105.389,16.0
105.389,105.389,105.369,105.369,76.0
105.369,105.371,105.366,105.369,66.0
105.369,105.383,105.369,105.379,37.0
105.379,105.385,105.375,105.375,35.0
105.375,105.384,105.375,105.383,31.0
105.384,105.386,105.384,105.384,8.0
105.383,105.385,105.379,105.385,13.0
105.385,105.385,105.379,105.379,14.0
105.379,105.379,105.375,105.377,42.0
105.377,105.381,105.375,105.38,27.0
105.38,105.387,105.38,105.385,33.0
105.385,105.385,105.383,105.383,2.0
105.383,105.389,105.383,105.384,26.0
105.384,105.392,105.381,105.391,37.0
105.391,105.397,105.391,105.394,24.0
105.394,105.395,105.393,105.394,12.0
105.395,105.397,105.395,105.395,13.0
105.395,105.397,105.393,105.395,25.0
105.395,105.397,105.394,105.397,20.0
105.397,105.401,105.397,105.398,17.0
105.398,105.398,105.393,105.393,7.0
105.393,105.395,105.392,105.392,18.0
105.393,105.393,105.391,105.391,11.0
105.391,105.391,105.381,105.383,20.0
105.383,105.391,105.381,105.391,24.0
105.391,105.397,105.39,105.397,24.0
105.397,105.397,105.391,105.391,13.0
105.391,105.394,105.391,105.391,10.0
105.391,105.394,105.391,105.391,11.0
105.391,105.393,105.389,105.389,14.0
105.389,105.391,105.388,105.39,27.0
105.39,105.392,105.39,105.391,15.0
105.391,105.391,105.383,105.386,24.0
105.386,105.389,105.386,105.386,8.0
105.386,105.386,105.381,105.385,13.0
105.385,105.385,105.375,105.375,9.0
105.375,105.375,105.375,105.375,1.0
105.375,105.375,105.37,105.37,14.0
105.37,105.385,105.369,105.385,22.0
105.385,105.386,105.384,105.385,14.0
105.385,105.385,105.383,105.383,8.0
105.383,105.383,105.383,105.383,3.0
105.383,105.383,105.383,105.383,5.0
105.382,105.382,105.382,105.382,2.0
105.382,105.382,105.377,105.381,14.0
105.381,105.387,105.381,105.387,13.0
105.387,105.387,105.386,105.387,4.0
105.387,105.391,105.387,105.387,18.0
105.387,105.387,105.38,105.38,20.0
105.38,105.38,105.374,105.375,11.0
105.374,105.374,105.37,105.37,11.0
105.37,105.37,105.367,105.369,8.0
105.369,105.369,105.369,105.369,0.0
105.369,105.369,105.369,105.369,3.0
105.369,105.37,105.369,105.37,2.0
105.37,105.37,105.369,105.369,4.0
105.369,105.37,105.369,105.369,6.0
105.369,105.369,105.366,105.368,9.0
105.368,105.369,105.368,105.369,5.0
105.369,105.373,105.369,105.373,5.0
105.373,105.378,105.373,105.373,12.0
105.373,105.373,105.37,105.371,7.0
105.371,105.371,105.369,105.369,8.0
105.369,105.377,105.369,105.377,40.0
105.377,105.381,105.377,105.381,6.0
105.381,105.388,105.381,105.387,29.0
105.387,105.387,105.381,105.381,12.0
105.381,105.382,105.381,105.382,11.0
105.381,105.381,105.372,105.372,61.0
105.372,105.373,105.369,105.369,10.0
105.37,105.371,105.37,105.371,4.0
105.371,105.376,105.371,105.375,9.0
105.375,105.375,105.371,105.373,10.0
105.373,105.377,105.373,105.373,18.0
105.373,105.373,105.369,105.371,13.0
105.371,105.371,105.371,105.371,22.0
105.371,105.374,105.371,105.374,9.0
105.374,105.375,105.374,105.375,1.0
105.375,105.375,105.369,105.369,8.0
105.369,105.37,105.364,105.365,18.0
105.365,105.368,105.363,105.364,35.0
105.364,105.364,105.359,105.359,41.0
105.359,105.359,105.353,105.353,65.0
105.353,105.354,105.347,105.349,31.0
105.35,105.35,105.348,105.348,10.0
105.348,105.353,105.345,105.353,25.0
105.353,105.353,105.352,105.353,11.0
105.353,105.353,105.348,105.348,11.0
105.348,105.351,105.344,105.347,17.0
105.347,105.347,105.343,105.344,17.0
105.343,105.347,105.343,105.347,10.0
105.347,105.347,105.343,105.343,13.0
105.343,105.345,105.343,105.344,10.0
105.344,105.355,105.344,105.355,9.0
105.354,105.354,105.353,105.353,2.0
105.353,105.353,105.348,105.348,12.0
105.348,105.351,105.348,105.348,16.0
105.348,105.353,105.347,105.353,14.0
105.353,105.353,105.347,105.351,12.0
105.351,105.351,105.349,105.349,4.0
105.349,105.349,105.344,105.344,13.0
105.344,105.345,105.341,105.342,9.0
105.343,105.347,105.343,105.347,4.0
105.347,105.347,105.342,105.342,3.0
105.342,105.345,105.341,105.345,11.0
105.345,105.345,105.338,105.338,11.0
105.338,105.345,105.338,105.343,13.0
105.343,105.348,105.342,105.348,10.0
105.348,105.348,105.347,105.347,2.0
105.347,105.347,105.347,105.347,0.0
105.347,105.347,105.347,105.347,0.0
105.347,105.352,105.347,105.352,3.0
105.351,105.351,105.348,105.349,10.0
105.349,105.35,105.349,105.35,5.0
105.35,105.352,105.35,105.351,10.0
105.351,105.351,105.351,105.351,5.0
105.351,105.365,105.351,105.365,24.0
105.365,105.371,105.365,105.371,16.0
105.371,105.379,105.371,105.377,17.0
105.377,105.377,105.372,105.376,19.0
105.376,105.376,105.369,105.371,33.0
105.371,105.371,105.36,105.36,14.0
105.36,105.369,105.36,105.367,13.0
105.367,105.367,105.363,105.366,9.0
105.366,105.366,105.363,105.363,19.0
105.363,105.364,105.361,105.362,13.0
105.362,105.362,105.361,105.362,3.0
105.362,105.362,105.357,105.36,4.0
105.36,105.362,105.36,105.36,6.0
105.36,105.367,105.359,105.367,11.0
105.367,105.374,105.366,105.373,9.0
105.375,105.378,105.373,105.373,13.0
105.373,105.377,105.373,105.374,8.0
105.374,105.383,105.373,105.383,21.0
105.382,105.382,105.377,105.377,11.0
105.377,105.378,105.377,105.378,2.0
105.378,105.382,105.378,105.381,6.0
105.381,105.381,105.377,105.377,7.0
105.376,105.377,105.375,105.375,7.0
105.375,105.375,105.371,105.371,5.0
105.371,105.371,105.371,105.371,6.0
105.371,105.371,105.371,105.371,2.0
105.371,105.373,105.371,105.373,5.0
105.373,105.373,105.371,105.372,32.0
105.372,105.376,105.371,105.373,22.0
105.373,105.376,105.373,105.376,5.0
105.376,105.376,105.373,105.373,3.0
105.373,105.375,105.373,105.375,4.0
105.375,105.375,105.375,105.375,0.0
105.375,105.378,105.375,105.378,3.0
105.378,105.379,105.373,105.375,17.0
105.375,105.377,105.375,105.377,8.0
105.377,105.377,105.373,105.373,14.0
105.373,105.373,105.373,105.373,2.0
105.373,105.373,105.371,105.371,3.0
105.371,105.371,105.37,105.37,2.0
105.371,105.371,105.36,105.365,22.0
105.365,105.365,105.362,105.363,16.0
105.363,105.363,105.363,105.363,4.0
105.363,105.365,105.363,105.365,2.0
105.365,105.365,105.364,105.364,3.0
105.364,105.364,105.364,105.364,1.0
105.364,105.364,105.364,105.364,4.0
105.364,105.369,105.364,105.369,9.0
105.369,105.369,105.361,105.361,15.0
105.361,105.361,105.357,105.357,18.0
105.357,105.357,105.353,105.353,15.0
105.353,105.354,105.353,105.353,2.0
