Open,High,Low,Close,Volume,Date
1.37339,1.37349,1.37337,1.37349,18.0,2021-01-26 10:27:30
1.3735,1.37353,1.37342,1.37348,18.0,2021-01-26 10:28:00
1.37348,1.37352,1.37347,1.37349,12.0,2021-01-26 10:28:30
1.37349,1.37359,1.37349,1.37359,9.0,2021-01-26 10:29:00
1.37359,1.37359,1.37346,1.37357,27.0,2021-01-26 10:29:30
1.37356,1.37356,1.37344,1.37346,28.0,2021-01-26 10:30:00
1.37348,1.37357,1.37347,1.37357,21.0,2021-01-26 10:30:30
1.37357,1.37357,1.37348,1.37352,12.0,2021-01-26 10:31:00
1.3735,1.3735,1.37337,1.37337,32.0,2021-01-26 10:31:30
1.37337,1.37337,1.37305,1.37307,49.0,2021-01-26 10:32:00
1.37307,1.37315,1.37301,1.37311,35.0,2021-01-26 10:32:30
1.3731,1.37311,1.37305,1.37309,22.0,2021-01-26 10:33:00
1.37307,1.37325,1.37307,1.37319,30.0,2021-01-26 10:33:30
1.37319,1.37325,1.37319,1.3732,11.0,2021-01-26 10:34:00
1.3732,1.37325,1.37313,1.37319,16.0,2021-01-26 10:34:30
1.37319,1.37319,1.37314,1.37319,13.0,2021-01-26 10:35:00
1.37319,1.37319,1.37307,1.37307,12.0,2021-01-26 10:35:30
1.37307,1.37307,1.37299,1.37303,46.0,2021-01-26 10:36:00
1.37303,1.37323,1.37297,1.37297,89.0,2021-01-26 10:36:30
1.37297,1.37306,1.37297,1.37301,23.0,2021-01-26 10:37:00
1.37304,1.37309,1.37304,1.37309,19.0,2021-01-26 10:37:30
1.37309,1.37311,1.37294,1.37296,24.0,2021-01-26 10:38:00
1.37298,1.37306,1.3729,1.37306,23.0,2021-01-26 10:38:30
1.37306,1.3731,1.37306,1.37306,11.0,2021-01-26 10:39:00
1.37306,1.37311,1.37296,1.37297,19.0,2021-01-26 10:39:30
1.373,1.37301,1.37293,1.373,20.0,2021-01-26 10:40:00
1.373,1.373,1.37294,1.37297,22.0,2021-01-26 10:40:30
1.37297,1.37316,1.37289,1.37315,46.0,2021-01-26 10:41:00
1.37315,1.37323,1.37315,1.37316,23.0,2021-01-26 10:41:30
1.37316,1.37316,1.37304,1.37305,10.0,2021-01-26 10:42:00
1.37305,1.37305,1.37304,1.37304,1.0,2021-01-26 10:42:30
1.37304,1.37304,1.37297,1.37297,7.0,2021-01-26 10:43:00
1.37297,1.37299,1.37297,1.37299,4.0,2021-01-26 10:43:30
1.37299,1.37306,1.37299,1.37305,16.0,2021-01-26 10:44:00
1.37305,1.37305,1.37292,1.37296,33.0,2021-01-26 10:44:30
1.37296,1.37299,1.37291,1.37296,39.0,2021-01-26 10:45:00
1.37296,1.37311,1.3729,1.37307,33.0,2021-01-26 10:45:30
1.37307,1.37319,1.37303,1.37315,19.0,2021-01-26 10:46:00
1.37315,1.37315,1.37295,1.37301,15.0,2021-01-26 10:46:30
1.37301,1.37308,1.37301,1.37306,13.0,2021-01-26 10:47:00
1.37305,1.37306,1.37299,1.37304,16.0,2021-01-26 10:47:30
1.37304,1.37306,1.37303,1.37303,5.0,2021-01-26 10:48:00
1.37301,1.37302,1.37287,1.37287,26.0,2021-01-26 10:48:30
1.37287,1.3729,1.37277,1.37279,19.0,2021-01-26 10:49:00
1.37279,1.37279,1.37266,1.37266,19.0,2021-01-26 10:49:30
1.37266,1.37274,1.37266,1.37266,30.0,2021-01-26 10:50:00
1.37266,1.37279,1.37264,1.37276,47.0,2021-01-26 10:50:30
1.37275,1.37275,1.37241,1.37243,30.0,2021-01-26 10:51:00
1.37245,1.37261,1.37245,1.37261,58.0,2021-01-26 10:51:30
1.3726,1.37265,1.3723,1.37238,128.0,2021-01-26 10:52:00
1.37238,1.37245,1.3719,1.37211,221.0,2021-01-26 10:52:30
1.37211,1.37253,1.37178,1.37248,269.0,2021-01-26 10:53:00
1.37249,1.37251,1.37233,1.37235,71.0,2021-01-26 10:53:30
1.37235,1.37246,1.37233,1.37237,60.0,2021-01-26 10:54:00
1.37235,1.37254,1.37221,1.37251,119.0,2021-01-26 10:54:30
1.37249,1.37266,1.37245,1.37261,80.0,2021-01-26 10:55:00
1.3726,1.37261,1.37248,1.37253,74.0,2021-01-26 10:55:30
1.37253,1.37256,1.37243,1.37247,68.0,2021-01-26 10:56:00
1.37248,1.37265,1.37248,1.37259,70.0,2021-01-26 10:56:30
1.37259,1.37265,1.37251,1.37258,79.0,2021-01-26 10:57:00
1.37259,1.37265,1.37254,1.37263,50.0,2021-01-26 10:57:30
1.37264,1.37275,1.37264,1.37269,80.0,2021-01-26 10:58:00
1.37267,1.37277,1.37267,1.37269,57.0,2021-01-26 10:58:30
1.37268,1.37283,1.37268,1.37279,44.0,2021-01-26 10:59:00
1.37279,1.37279,1.37273,1.37275,67.0,2021-01-26 10:59:30
1.37275,1.37279,1.37273,1.37274,31.0,2021-01-26 11:00:00
1.37273,1.37285,1.37266,1.37276,151.0,2021-01-26 11:00:30
1.37277,1.37297,1.37271,1.37293,110.0,2021-01-26 11:01:00
1.37293,1.37307,1.37292,1.37302,102.0,2021-01-26 11:01:30
1.37303,1.37337,1.37303,1.37335,75.0,2021-01-26 11:02:00
1.37335,1.37337,1.37319,1.37337,82.0,2021-01-26 11:02:30
1.37337,1.37338,1.37319,1.37323,49.0,2021-01-26 11:03:00
1.37323,1.37323,1.37301,1.37303,46.0,2021-01-26 11:03:30
1.37303,1.37321,1.37303,1.37321,39.0,2021-01-26 11:04:00
1.3732,1.3732,1.37311,1.37316,60.0,2021-01-26 11:04:30
1.37315,1.37321,1.37311,1.37313,27.0,2021-01-26 11:05:00
1.37311,1.37311,1.37297,1.37303,32.0,2021-01-26 11:05:30
1.37303,1.37303,1.37293,1.37293,12.0,2021-01-26 11:06:00
1.37295,1.37303,1.3729,1.37297,22.0,2021-01-26 11:06:30
1.37297,1.37305,1.37297,1.37305,22.0,2021-01-26 11:07:00
1.37305,1.37307,1.37303,1.37307,13.0,2021-01-26 11:07:30
1.37307,1.37314,1.373,1.37305,25.0,2021-01-26 11:08:00
1.37305,1.37305,1.373,1.37302,11.0,2021-01-26 11:08:30
1.37302,1.37315,1.37302,1.37315,14.0,2021-01-26 11:09:00
1.37315,1.37315,1.37305,1.37306,15.0,2021-01-26 11:09:30
1.37305,1.37319,1.37305,1.37315,23.0,2021-01-26 11:10:00
1.37317,1.37317,1.37303,1.37303,16.0,2021-01-26 11:10:30
1.37303,1.37318,1.37303,1.37312,30.0,2021-01-26 11:11:00
1.37312,1.37318,1.37309,1.37312,21.0,2021-01-26 11:11:30
1.37313,1.37333,1.37313,1.37333,23.0,2021-01-26 11:12:00
1.37334,1.37334,1.37311,1.37316,54.0,2021-01-26 11:12:30
1.37317,1.37319,1.37309,1.37315,29.0,2021-01-26 11:13:00
1.37315,1.37324,1.37307,1.37307,51.0,2021-01-26 11:13:30
1.37307,1.37307,1.37291,1.37293,33.0,2021-01-26 11:14:00
1.37293,1.37308,1.37293,1.37308,37.0,2021-01-26 11:14:30
1.37307,1.37313,1.37293,1.37299,56.0,2021-01-26 11:15:00
1.373,1.373,1.37289,1.37289,15.0,2021-01-26 11:15:30
1.3729,1.37301,1.3729,1.37301,14.0,2021-01-26 11:16:00
1.37301,1.37321,1.37301,1.37321,17.0,2021-01-26 11:16:30
1.37321,1.37325,1.37312,1.37325,15.0,2021-01-26 11:17:00
1.37325,1.37329,1.37325,1.37325,7.0,2021-01-26 11:17:30
1.37325,1.37325,1.37311,1.37318,22.0,2021-01-26 11:18:00
1.37318,1.37319,1.37303,1.37309,13.0,2021-01-26 11:18:30
1.37309,1.3731,1.37292,1.37293,24.0,2021-01-26 11:19:00
1.37293,1.37294,1.37283,1.37285,22.0,2021-01-26 11:19:30
1.37286,1.37286,1.37281,1.37284,26.0,2021-01-26 11:20:00
1.37284,1.37286,1.37281,1.37283,26.0,2021-01-26 11:20:30
1.37283,1.37293,1.37283,1.37293,29.0,2021-01-26 11:21:00
1.37293,1.37293,1.37275,1.37275,54.0,2021-01-26 11:21:30
1.37275,1.37275,1.37267,1.37268,15.0,2021-01-26 11:22:00
1.37268,1.37275,1.37264,1.37268,30.0,2021-01-26 11:22:30
1.37268,1.37273,1.37264,1.37266,29.0,2021-01-26 11:23:00
1.37266,1.37275,1.37266,1.37275,32.0,2021-01-26 11:23:30
1.37275,1.37275,1.37264,1.37272,18.0,2021-01-26 11:24:00
1.37273,1.37273,1.37249,1.37254,29.0,2021-01-26 11:24:30
1.37254,1.37254,1.37241,1.37241,19.0,2021-01-26 11:25:00
1.37241,1.37257,1.37241,1.37249,20.0,2021-01-26 11:25:30
1.37249,1.37257,1.37248,1.37257,18.0,2021-01-26 11:26:00
1.37257,1.37259,1.37257,1.37258,3.0,2021-01-26 11:26:30
1.37258,1.37275,1.37258,1.37267,41.0,2021-01-26 11:27:00
1.37267,1.37269,1.37257,1.37258,10.0,2021-01-26 11:27:30
1.37258,1.37259,1.37255,1.37259,8.0,2021-01-26 11:28:00
1.37259,1.37262,1.37251,1.37251,18.0,2021-01-26 11:28:30
1.37253,1.37256,1.37237,1.37237,20.0,2021-01-26 11:29:00
1.37239,1.37247,1.37231,1.37247,35.0,2021-01-26 11:29:30
1.37247,1.3726,1.37245,1.37256,28.0,2021-01-26 11:30:00
1.37257,1.37266,1.37256,1.37266,45.0,2021-01-26 11:30:30
1.37265,1.37265,1.37257,1.37258,21.0,2021-01-26 11:31:00
1.37258,1.37275,1.37257,1.37275,21.0,2021-01-26 11:31:30
1.37275,1.37285,1.37269,1.37282,16.0,2021-01-26 11:32:00
1.37281,1.37281,1.37269,1.37276,17.0,2021-01-26 11:32:30
1.37276,1.3728,1.37276,1.3728,3.0,2021-01-26 11:33:00
1.3728,1.37289,1.3728,1.37289,13.0,2021-01-26 11:33:30
1.37289,1.37289,1.37286,1.37289,18.0,2021-01-26 11:34:00
1.37293,1.37298,1.3729,1.3729,35.0,2021-01-26 11:34:30
1.37291,1.37303,1.37289,1.37303,16.0,2021-01-26 11:35:00
1.37303,1.37307,1.373,1.37307,11.0,2021-01-26 11:35:30
1.37307,1.37309,1.373,1.37305,14.0,2021-01-26 11:36:00
1.37305,1.37308,1.37299,1.37299,13.0,2021-01-26 11:36:30
1.37299,1.37303,1.37298,1.37298,6.0,2021-01-26 11:37:00
1.37298,1.37303,1.37298,1.37302,10.0,2021-01-26 11:37:30
1.37301,1.37311,1.37299,1.37308,18.0,2021-01-26 11:38:00
1.37308,1.37308,1.373,1.373,5.0,2021-01-26 11:38:30
1.373,1.373,1.3729,1.37291,23.0,2021-01-26 11:39:00
1.37292,1.37299,1.37292,1.37293,16.0,2021-01-26 11:39:30
1.37293,1.37305,1.37293,1.37303,13.0,2021-01-26 11:40:00
1.37303,1.37303,1.37297,1.37297,10.0,2021-01-26 11:40:30
1.37298,1.37299,1.37297,1.37297,12.0,2021-01-26 11:41:00
1.37297,1.37297,1.37296,1.37296,4.0,2021-01-26 11:41:30
1.37296,1.37299,1.3729,1.37299,14.0,2021-01-26 11:42:00
1.37298,1.37299,1.37298,1.37298,6.0,2021-01-26 11:42:30
1.37298,1.37309,1.37298,1.37309,34.0,2021-01-26 11:43:00
1.37309,1.37318,1.37309,1.37318,10.0,2021-01-26 11:43:30
1.37318,1.37318,1.37312,1.37312,5.0,2021-01-26 11:44:00
1.37312,1.37312,1.37309,1.37309,5.0,2021-01-26 11:44:30
1.37309,1.37319,1.37309,1.37319,8.0,2021-01-26 11:45:00
1.37319,1.37329,1.37319,1.37329,7.0,2021-01-26 11:45:30
1.37327,1.37329,1.37327,1.37328,13.0,2021-01-26 11:46:00
1.37328,1.37334,1.37327,1.37331,15.0,2021-01-26 11:46:30
1.37331,1.37331,1.37317,1.37317,15.0,2021-01-26 11:47:00
1.37317,1.37317,1.37297,1.37297,13.0,2021-01-26 11:47:30
1.37297,1.37305,1.37296,1.37303,24.0,2021-01-26 11:48:00
1.37303,1.37305,1.37303,1.37305,8.0,2021-01-26 11:48:30
1.37305,1.37305,1.37303,1.37305,5.0,2021-01-26 11:49:00
1.37305,1.37317,1.37305,1.37315,23.0,2021-01-26 11:49:30
1.37315,1.37319,1.37314,1.37316,17.0,2021-01-26 11:50:00
1.37316,1.37316,1.37307,1.37315,21.0,2021-01-26 11:50:30
1.37315,1.37315,1.37308,1.3731,28.0,2021-01-26 11:51:00
1.3731,1.37325,1.3731,1.3732,28.0,2021-01-26 11:51:30
1.3732,1.37326,1.37317,1.37321,40.0,2021-01-26 11:52:00
1.3732,1.37329,1.37319,1.37319,39.0,2021-01-26 11:52:30
1.37319,1.37339,1.37319,1.37337,21.0,2021-01-26 11:53:00
1.37338,1.37346,1.37329,1.37335,33.0,2021-01-26 11:53:30
1.37335,1.37342,1.37335,1.37339,30.0,2021-01-26 11:54:00
1.37339,1.37346,1.37339,1.37339,26.0,2021-01-26 11:54:30
1.37339,1.37339,1.37332,1.37339,8.0,2021-01-26 11:55:00
1.37338,1.3734,1.37337,1.37337,5.0,2021-01-26 11:55:30
1.37337,1.37347,1.37337,1.37347,24.0,2021-01-26 11:56:00
1.37347,1.37347,1.37329,1.37333,33.0,2021-01-26 11:56:30
1.37333,1.37333,1.37327,1.37327,23.0,2021-01-26 11:57:00
1.37327,1.37329,1.37326,1.37327,14.0,2021-01-26 11:57:30
1.37327,1.37327,1.37311,1.37315,25.0,2021-01-26 11:58:00
1.37313,1.37317,1.37302,1.37316,40.0,2021-01-26 11:58:30
1.37315,1.37326,1.37313,1.37326,42.0,2021-01-26 11:59:00
1.37326,1.37327,1.37319,1.37326,25.0,2021-01-26 11:59:30
1.37326,1.37326,1.37315,1.37316,22.0,2021-01-26 12:00:00
1.37316,1.37316,1.37295,1.37295,30.0,2021-01-26 12:00:30
1.37295,1.37302,1.37295,1.37297,24.0,2021-01-26 12:01:00
1.37297,1.37299,1.37287,1.37287,17.0,2021-01-26 12:01:30
1.37287,1.37287,1.37279,1.37279,11.0,2021-01-26 12:02:00
1.37279,1.37315,1.37279,1.3731,64.0,2021-01-26 12:02:30
1.3731,1.37316,1.37306,1.37315,21.0,2021-01-26 12:03:00
1.37315,1.37315,1.37306,1.37307,16.0,2021-01-26 12:03:30
1.37307,1.37322,1.37307,1.37321,17.0,2021-01-26 12:04:00
1.37319,1.37319,1.37313,1.37314,19.0,2021-01-26 12:04:30
1.37314,1.37319,1.37314,1.37319,17.0,2021-01-26 12:05:00
1.37319,1.37335,1.37317,1.37334,38.0,2021-01-26 12:05:30
1.37334,1.37334,1.37324,1.37324,17.0,2021-01-26 12:06:00
1.37324,1.37324,1.37315,1.37315,25.0,2021-01-26 12:06:30
1.37315,1.37315,1.37315,1.37315,7.0,2021-01-26 12:07:00
1.37315,1.37315,1.37313,1.37315,11.0,2021-01-26 12:07:30
1.37315,1.37315,1.37315,1.37315,7.0,2021-01-26 12:08:00
